Rank,City,Country,Extra Info,Quality of Life Index,Purchasing Power Index,Safety Index,Health Care Index,Cost of Living Index,Property Price to Income Ratio,Traffic Commute Time Index,Pollution Index,Climate Index,Description,imgsrc,imgurl,DescriptionB
69,Prague, Czech Republic,,160.99,76.62,70.23,70.89,43.63,14.25,37.06,37.62,66.91,"Prague, capital city of the Czech Republic, is bisected by the Vltava River. Nicknamed �the City of a Hundred Spires,� it's known for its Old Town Square, the heart of its historic core, with colorful baroque buildings, Gothic churches and the medieval Astronomical Clock, which gives an animated hourly show. Completed in 1402, pedestrian Charles Bridge is lined with statues of Catholic saints.",https://brightcove04pmdo-a.akamaihd.net/5104226627001/5104226627001_5244682740001_5212893703001-vs.jpg?pubId=5104226627001&videoId=5212893703001,,"Prague, capital city of the Czech Republic, is bisected by the Vltava River. Nicknamed �the City of a Hundred Spires,� it's known for its Old Town Square, the heart of its historic core, with colorful baroque buildings, Gothic churches and the medieval Astronomical Clock, which gives an animated hourly show. Completed in 1402, pedestrian Charles Bridge is lined with statues of Catholic saints."
70,Cluj-napoca, Romania,,160.81,51.76,80.91,67.32,36.81,12.58,29.21,36.11,62.69,"Cluj-Napoca, a city in northwestern Romania, is the unofficial capital of the Transylvania region. It's home to universities, vibrant nightlife and landmarks dating to Saxon and Hungarian rule. Surrounding its central square, Pia_a Unirii, is the Gothic-style St. Michael's Church and a dramatic statue of the 15th-century king Matthias Corvinus. The baroque-era B�nffy Palace is now a museum showcasing Romanian art.",http://cpi.imobiliare.ro/wp-content/uploads/2015/07/Cluj-Napoca.jpg,,"Cluj-Napoca, a city in northwestern Romania, is the unofficial capital of the Transylvania region. It's home to universities, vibrant nightlife and landmarks dating to Saxon and Hungarian rule. Surrounding its central square, Pia_a Unirii, is the Gothic-style St. Michael's Church and a dramatic statue of the 15th-century king Matthias Corvinus. The baroque-era B�nffy Palace is now a museum showcasing Romanian art."
71,Stockholm, Sweden,,160.24,101.95,54.22,68,83.42,15.36,39.35,16.27,55.44,"Stockholm, the capital of Sweden, encompasses 14 islands and more than 50 bridges on an extensive Baltic Sea archipelago. The cobblestone streets and ochre-colored buildings of Gamla Stan (the old town) are home to the 13th-century Storkyrkan Cathedral, the Kungliga Slottet Royal Palace and the Nobel Museum, which focuses on the Nobel Prize. Ferries and sightseeing boats shuttle passengers between the islands.",https://en.aegeanair.com/-/media/destinations/stockholm/stockholm_final_cover.jpg,,"Stockholm, the capital of Sweden, encompasses 14 islands and more than 50 bridges on an extensive Baltic Sea archipelago. The cobblestone streets and ochre-colored buildings of Gamla Stan (the old town) are home to the 13th-century Storkyrkan Cathedral, the Kungliga Slottet Royal Palace and the Nobel Museum, which focuses on the Nobel Prize. Ferries and sightseeing boats shuttle passengers between the islands."
72,Seoul, South Korea,,160.16,90.86,76.2,86.96,79.77,17.82,34.24,37.48,53.64,"Seoul, the capital of South Korea, is a huge metropolis where modern skyscrapers, high-tech subways and pop culture meet Buddhist temples, palaces and street markets. Notable attractions include futuristic Dongdaemun Design Plaza, a convention hall with curving architecture and a rooftop park; Gyeongbokgung Palace, which once had more than 7,000 rooms; and Jogyesa Temple, site of ancient locust and pine trees.",http://www.notizie.it/wp-content/uploads/2015/03/6b.jpg,,"Seoul, the capital of South Korea, is a huge metropolis where modern skyscrapers, high-tech subways and pop culture meet Buddhist temples, palaces and street markets. Notable attractions include futuristic Dongdaemun Design Plaza, a convention hall with curving architecture and a rooftop park; Gyeongbokgung Palace, which once had more than 7,000 rooms; and Jogyesa Temple, site of ancient locust and pine trees."
73,Edmonton, Canada,,158.83,113.83,59.29,76.06,72.74,5.56,35.22,27.6,18.7,"Edmonton, capital of Canada's Alberta province, sits on the North Saskatchewan River. Its past is recreated at Fort Edmonton Park, a living history museum with an 1846 fort and streets from 1885, 1905 and 1920. The city's contemporary landmarks include the Royal Alberta Museum, with aboriginal-culture and natural-history galleries, and the futuristic-looking Art Gallery of Alberta, known for its First Nations art.",http://i.huffpost.com/gen/4214742/images/o-EDMONTON-facebook.jpg,,"Edmonton, capital of Canada's Alberta province, sits on the North Saskatchewan River. Its past is recreated at Fort Edmonton Park, a living history museum with an 1846 fort and streets from 1885, 1905 and 1920. The city's contemporary landmarks include the Royal Alberta Museum, with aboriginal-culture and natural-history galleries, and the futuristic-looking Art Gallery of Alberta, known for its First Nations art."
74,Los Angeles, United States, CA,158.63,124.27,45.33,60.15,80.67,5.7,45,62.09,95.86,"Los Angeles is a sprawling Southern California city and the center of the nation�s film and television industry. Near its iconic Hollywood sign, studios such as Paramount Pictures, Universal and Warner Brothers offer behind-the-scenes tours. On Hollywood Boulevard, TCL Chinese Theatre displays celebrities� hand- and footprints, the Walk of Fame honors thousands of luminaries and vendors sell maps to stars� homes.",https://media.timeout.com/images/102692209/image.jpg,,"Los Angeles is a sprawling Southern California city and the center of the nation  is film and television industry. Near its iconic Hollywood sign, studios such as Paramount Pictures, Universal and Warner Brothers offer behind-the-scenes tours. On Hollywood Boulevard, TCL Chinese Theatre displays celebrities  i hand- and footprints, the Walk of Fame honors thousands of luminaries and vendors sell maps to stars  i homes."
75,Bratislava, Slovakia,,157.23,70.94,70.31,63.25,47.6,11.39,36.14,41.9,70.63,"Bratislava, the capital of Slovakia, is set along the Danube River by the border with Austria and Hungary. It�s surrounded by vineyards and the Little Carpathian mountains, crisscrossed with forested hiking and cycling trails. The pedestrian-only, 18th-century old town is known for its lively bars and cafes. Perched atop a hill, the reconstructed Bratislava Castle overlooks old town and the Danube.",https://cdn-goeuro.com/static_content/web/content/destination/Bratislava-Header.jpg,,"Bratislava, the capital of Slovakia, is set along the Danube River by the border with Austria and Hungary. It  is surrounded by vineyards and the Little Carpathian mountains, crisscrossed with forested hiking and cycling trails. The pedestrian-only, 18th-century old town is known for its lively bars and cafes. Perched atop a hill, the reconstructed Bratislava Castle overlooks old town and the Danube."
76,Orlando, United States, FL,156.34,107.49,45.03,64.22,79.53,2.8,39.7,37.75,57.71,"Orlando, a city in central Florida, is home to more than a dozen theme parks. Chief among its claims to fame is Walt Disney World, comprised of parks like the Magic Kingdom and Epcot, as well as water parks. Another major destination, Universal Orlando, offers Universal Studios and Islands of Adventure, with the Wizarding World of Harry Potter straddling both.",http://static.asiawebdirect.com/m/bangkok/portals/orlando-com/homepage/attractions/magic-kingdom/pagePropertiesImage/DisneysMagic.jpg,,"Orlando, a city in central Florida, is home to more than a dozen theme parks. Chief among its claims to fame is Walt Disney World, comprised of parks like the Magic Kingdom and Epcot, as well as water parks. Another major destination, Universal Orlando, offers Universal Studios and Islands of Adventure, with the Wizarding World of Harry Potter straddling both."
77,Abu Dhabi, United Arab Emirates,,155.88,136.07,84.49,58.36,65.96,4.81,25.61,54.5,6.01,"Abu Dhabi, the capital of the United Arab Emirates, sits off the mainland on an island in the Persian (Arabian) Gulf. Its focus on oil exports and commerce is reflected by the skyline�s modern towers and shopping megacenters such as Abu Dhabi and Marina malls. Beneath white-marble domes, the vast Sheikh Zayed Grand Mosque features an immense Persian carpet, crystal chandeliers and capacity for 41,000 worshipers.",https://d12dkjq56sjcos.cloudfront.net/pub/media/wysiwyg/abudhabi/01-city-landing/Abu-Dhabi-Sheikh-Zayed-Grand-Mosque-Big-Bus-Tours-Jan-2017.jpg,,"Abu Dhabi, the capital of the United Arab Emirates, sits off the mainland on an island in the Persian (Arabian) Gulf. Its focus on oil exports and commerce is reflected by the skyline  is modern towers and shopping megacenters such as Abu Dhabi and Marina malls. Beneath white-marble domes, the vast Sheikh Zayed Grand Mosque features an immense Persian carpet, crystal chandeliers and capacity for 41,000 worshipers."
78,Dublin, Ireland,,154.93,99,47.19,51.07,79.72,8.01,36.87,32.99,71.38,"Dublin, capital of the Republic of Ireland, is on Ireland�s east coast at the mouth of the River Liffey. Its historic buildings include Dublin Castle, dating to the 13th century, and imposing St Patrick�s Cathedral, founded in 1191. City parks include landscaped St Stephen�s Green and huge Phoenix Park, containing Dublin Zoo. The National Museum of Ireland explores Irish heritage and culture.",http://d5qsyj6vaeh11.cloudfront.net/images/destinations/dublin/dublin-main/ten-attractions/dublin-top-ten-hapenny-bridge-bg.jpg,,"Dublin, capital of the Republic of Ireland, is on Ireland  is east coast at the mouth of the River Liffey. Its historic buildings include Dublin Castle, dating to the 13th century, and imposing St Patrick  is Cathedral, founded in 1191. City parks include landscaped St Stephen  is Green and huge Phoenix Park, containing Dublin Zoo. The National Museum of Ireland explores Irish heritage and culture."
79,Manchester, United Kingdom,,154.38,97,46.84,76.71,69.06,5.97,41.89,52.26,74.07,"Manchester is a major city in the northwest of England with a rich industrial heritage. The Castlefield conservation area�s 18th-century canal system recalls the city�s days as a textile powerhouse, and visitors can trace this history at the interactive Museum of Science & Industry. The revitalised Salford Quays dockyards now house the Daniel Libeskind-designed Imperial War Museum North and the Lowry cultural centre.",https://nationalrailenquiries.files.wordpress.com/2015/04/manchester.jpg,,"Manchester is a major city in the northwest of England with a rich industrial heritage. The Castlefield conservation area  is 18th-century canal system recalls the city  is days as a textile powerhouse, and visitors can trace this history at the interactive Museum of Science & Industry. The revitalised Salford Quays dockyards now house the Daniel Libeskind-designed Imperial War Museum North and the Lowry cultural centre."
80,Muscat, Oman,,153.18,119.41,74.84,58.12,54.38,3.54,15.2,49.43,-0.57,"Muscat, Oman's port capital, sits on the Gulf of Oman surrounded by mountains and desert. With history dating back to antiquity, it mixes high-rises and upscale shopping malls with clifftop landmarks such as the 16th-century Portuguese forts, Al Jalali and Mirani, looming over Muscat Harbor. Its modern, marble-clad Sultan Qaboos Grand Mosque, with 50m dome and prodigious Persian carpet, can accommodate 20,000 people.",https://assets.bwbx.io/images/users/iqjWHBFdfxIU/i0XtPwgq8Ikc/v1/-1x-1.jpg,,"Muscat, Oman's port capital, sits on the Gulf of Oman surrounded by mountains and desert. With history dating back to antiquity, it mixes high-rises and upscale shopping malls with clifftop landmarks such as the 16th-century Portuguese forts, Al Jalali and Mirani, looming over Muscat Harbor. Its modern, marble-clad Sultan Qaboos Grand Mosque, with 50m dome and prodigious Persian carpet, can accommodate 20,000 people."
81,Chicago, United States, IL,152.01,122.99,34.61,65.41,84.51,3.55,45.25,39.78,57.87,"Chicago, on Lake Michigan in Illinois, is among the largest cities in the U.S. Famed for its bold architecture, it has a skyline punctuated by skyscrapers such as the iconic John Hancock Center, 1,451-ft. Willis Tower (formerly the Sears Tower) and the neo-Gothic Tribune Tower. The city is also renowned for its museums, including the Art Institute of Chicago with its noted Impressionist and Post-Impressionist works.",http://cdn-image.travelandleisure.com/sites/default/files/styles/1600x1000/public/1446655168/chicago-header-dg1115.jpg?itok=MqZFOaTi,,"Chicago, on Lake Michigan in Illinois, is among the largest cities in the U.S. Famed for its bold architecture, it has a skyline punctuated by skyscrapers such as the iconic John Hancock Center, 1,451-ft. Willis Tower (formerly the Sears Tower) and the neo-Gothic Tribune Tower. The city is also renowned for its museums, including the Art Institute of Chicago with its noted Impressionist and Post-Impressionist works."
82,Warsaw, Poland,,151.61,74.32,73.85,60.84,40.79,11.81,38.59,46.94,62.36,"Warsaw is the sprawling capital of Poland. Its widely varied architecture reflects the city's long, turbulent history, from Gothic churches and neoclassical palaces to Soviet-era blocks and modern skyscrapers. The city's Old Town was restored after heavy damage during WWII. Its heart is Market Square, with pastel buildings and open-air cafes. The Monument of the Warsaw Mermaid at its center is the city�s symbol.",http://www.rhinegold.co.uk/wp-content/uploads/2016/01/PIC-1-Warsaw.jpg,,"Warsaw is the sprawling capital of Poland. Its widely varied architecture reflects the city's long, turbulent history, from Gothic churches and neoclassical palaces to Soviet-era blocks and modern skyscrapers. The city's Old Town was restored after heavy damage during WWII. Its heart is Market Square, with pastel buildings and open-air cafes. The Monument of the Warsaw Mermaid at its center is the city  is symbol."
83,Timisoara, Romania,,151.54,49.71,76.82,63.04,35.38,11.96,21,58.68,73.37,"Timi_oara is the capital city of Timi_ County, and the main social, economic and cultural centre in western Romania. ",http://www.sabrinabarbante.com/wp-content/uploads/2016/09/Catedrala_din_Timisoara.jpg,,"Timi_oara is the capital city of Timi_ County, and the main social, economic and cultural centre in western Romania. "
84,Banja Luka, Bosnia And Herzegovina,,150.78,51.23,72.66,51.71,34.7,12.83,26.91,48.31,77.42,"Banja Luka, or Banjaluka is the largest city of the Republika Srpska entity and second largest city in Bosnia and Herzegovina after the capital Sarajevo.",https://trackingenlargement.files.wordpress.com/2016/05/banjaluka.jpg,,"Banja Luka, or Banjaluka is the largest city of the Republika Srpska entity and second largest city in Bosnia and Herzegovina after the capital Sarajevo."
85,Tel Aviv-Yafo, Israel,,150.17,90,68.67,75.63,80.11,18.28,40.19,52.95,78.56,"Tel Aviv, a city on Israel�s Mediterranean coast, is marked by stark 1930s Bauhaus buildings, thousands of which are clustered in the White City architectural area. Museums include Beit Hatfutsot, whose multimedia exhibits illustrate the history of Jewish communities worldwide. The Eretz Israel Museum covers the country�s archaeology, folklore and crafts, and features an on-site excavation of 12th-century-B.C. ruins.",https://i.ytimg.com/vi/L0uAYyyxv0I/maxresdefault.jpg,,"Tel Aviv, a city on Israel  is Mediterranean coast, is marked by stark 1930s Bauhaus buildings, thousands of which are clustered in the White City architectural area. Museums include Beit Hatfutsot, whose multimedia exhibits illustrate the history of Jewish communities worldwide. The Eretz Israel Museum covers the country  is archaeology, folklore and crafts, and features an on-site excavation of 12th-century-B.C. ruins."
86,Thessaloniki, Greece,,150.11,50.44,66.11,67.22,55.88,9.11,24.56,62.96,89.07,"Thessaloniki is a Greek port city on the Thermaic Gulf of the Aegean Sea. Evidence of Roman, Byzantine and Ottoman history remains, especially around Ano Poli, the upper town. The ruins of Roman Emperor Galerius� 4th-century palace include the Rotunda that has been both a church and a mosque. Much of the city center was destroyed in the Great Fire of 1917. The rebuilt 20th-century city has a modern European layout.",http://www.grecia.info/es/wp-content/uploads/sites/49/Kastellorizo1.jpg,,"Thessaloniki is a Greek port city on the Thermaic Gulf of the Aegean Sea. Evidence of Roman, Byzantine and Ottoman history remains, especially around Ano Poli, the upper town. The ruins of Roman Emperor Galerius  i 4th-century palace include the Rotunda that has been both a church and a mosque. Much of the city center was destroyed in the Great Fire of 1917. The rebuilt 20th-century city has a modern European layout."
87,Honolulu, United States, HI,149.99,85.56,63.62,65.51,99.54,10.01,39.36,42.9,71.9,"Honolulu, on the island of Oahu�s south shore, is capital of Hawaii and gateway to the U.S. island chain. The Waikiki neighborhood is its center for dining, nightlife and shopping, famed for its iconic crescent beach backed by palms and high-rise hotels, with volcanic Diamond Head crater looming in the distance. Sites relating to the World War II attack on Pearl Harbor include the USS Arizona Memorial.",https://pix6.agoda.net/city/513639/513639-4x3.jpg,,"Honolulu, on the island of Oahu  is south shore, is capital of Hawaii and gateway to the U.S. island chain. The Waikiki neighborhood is its center for dining, nightlife and shopping, famed for its iconic crescent beach backed by palms and high-rise hotels, with volcanic Diamond Head crater looming in the distance. Sites relating to the World War II attack on Pearl Harbor include the USS Arizona Memorial."
88,Monterrey, Mexico,,149.52,91.05,49.33,58.82,32.93,4.21,27.2,65.43,65.86,"Monterrey, capital of the northeastern Mexican state of Nuevo LeNn, is a sprawling business and industrial center fringed by mountains. It is overlooked by the Palacio del Obispado, a storied Baroque palace with a regional museum. Downtown lies the Macroplaza, a vast green area of connected squares home to the striking Museo de Arte Contemporaneo and the Faro de Comercio tower, which beams a green laser into the sky.",https://images.trvl-media.com/media/content/shared/images/travelguides/destination/2448/Monterrey-68870.jpg,,"Monterrey, capital of the northeastern Mexican state of Nuevo LeNn, is a sprawling business and industrial center fringed by mountains. It is overlooked by the Palacio del Obispado, a storied Baroque palace with a regional museum. Downtown lies the Macroplaza, a vast green area of connected squares home to the striking Museo de Arte Contemporaneo and the Faro de Comercio tower, which beams a green laser into the sky."
89,Brussels, Belgium,,148.19,95.8,45.48,77.17,75.85,7.49,32.86,64.96,77.32,"Brussels, officially the Brussels-Capital Region, is a region of Belgium comprising 19 municipalities, including the City of Brussels which is the capital of Belgium.",https://www.brussels.be/sites/default/files/banner33.jpg,,"Brussels, officially the Brussels-Capital Region, is a region of Belgium comprising 19 municipalities, including the City of Brussels which is the capital of Belgium."
90,Barcelona, Spain,,147.64,83.1,60.35,72.99,61.13,11.78,35.5,69.43,86.15,"Barcelona, the cosmopolitan capital of Spain�s Catalonia region, is known for its art and architecture. The fantastical Sagrada Fam'lia church and other modernist landmarks designed by Antoni Gaud' dot the city. Museu Picasso and Fundaci� Joan Mir� feature modern art by their namesakes. City history museum MUHBA, includes several Roman archaeological sites.",https://media.timeout.com/images/101851347/image.jpg,,"Barcelona, the cosmopolitan capital of Spain  is Catalonia region, is known for its art and architecture. The fantastical Sagrada Fam'lia church and other modernist landmarks designed by Antoni Gaud' dot the city. Museu Picasso and Fundaci� Joan Mir� feature modern art by their namesakes. City history museum MUHBA, includes several Roman archaeological sites."
91,Regina, Canada,,145.49,115.17,46.62,64.32,72.1,4.75,28.85,36.49,16.6,"Regina is the capital of Saskatchewan, Canada. The Royal Saskatchewan Museum has exhibits on Canada�s Aboriginal peoples and native animals. It's in the Wascana Centre, a park surrounding Wascana Lake. Also in the park is the MacKenzie Art Gallery, with local and global artwork. Hands-on displays fill the lakeside Saskatchewan Science Centre. The RCMP Heritage Centre celebrates the Royal Canadian Mounted Police.",http://ibackpackcanada.com/wp-content/uploads/2009/08/travel-regina-sk1.jpg,,"Regina is the capital of Saskatchewan, Canada. The Royal Saskatchewan Museum has exhibits on Canada  is Aboriginal peoples and native animals. It's in the Wascana Centre, a park surrounding Wascana Lake. Also in the park is the MacKenzie Art Gallery, with local and global artwork. Hands-on displays fill the lakeside Saskatchewan Science Centre. The RCMP Heritage Centre celebrates the Royal Canadian Mounted Police."
92,Izmir, Turkey,,144.19,54.23,73.43,77.11,36.14,8.28,40.36,64.83,67.68,"Izmir is a city on Turkey�s Aegean coast. Known as Smyrna in antiquity, it was founded by the Greeks, taken over by the Romans and rebuilt by Alexander the Great before becoming part of the Ottoman Empire in the 15th century. Today, its expansive archaeological sites include the Roman Agora of Smyrna, now an open-air museum. The hilltop Kadifekale, or Velvet Castle, built during Alexander�s reign, overlooks the city.",https://www.startupbootcamp.org/wp-content/uploads/assets/images/spaces/istanbul/izmir_saat_kulesi__izmir.jpg,,"Izmir is a city on Turkey  is Aegean coast. Known as Smyrna in antiquity, it was founded by the Greeks, taken over by the Romans and rebuilt by Alexander the Great before becoming part of the Ottoman Empire in the 15th century. Today, its expansive archaeological sites include the Roman Agora of Smyrna, now an open-air museum. The hilltop Kadifekale, or Velvet Castle, built during Alexander  is reign, overlooks the city."
93,Johannesburg, South Africa,,142.27,111.67,21.51,60.11,44.99,2.8,46.44,72.72,92.6,"Johannesburg, South Africa's biggest city and capital of Gauteng province, began as a 19th-century gold-mining settlement. Its sprawling Soweto township was once home to Nelson Mandela and Desmond Tutu. Mandela�s former residence is now the Mandela House museum. Other Soweto museums that recount the struggle to end segregation include the somber Apartheid Museum and Constitution Hill, a former prison complex.",http://www.sothebysrealty.com/localimagereader.ashx?bypassglobalproxy=true&imageurl=siteresources%2Fmy%20folder%2Fimages%2Farticles%2Fjohannesburg-south-africa%2Fjohannesburg-main.jpg,,"Johannesburg, South Africa's biggest city and capital of Gauteng province, began as a 19th-century gold-mining settlement. Its sprawling Soweto township was once home to Nelson Mandela and Desmond Tutu. Mandela  is former residence is now the Mandela House museum. Other Soweto museums that recount the struggle to end segregation include the somber Apartheid Museum and Constitution Hill, a former prison complex."
94,Novi Sad, Serbia,,141.85,39.33,54.98,47.35,34.27,17.04,18.45,41.65,81.15,"Novi Sad is a city in northern Serbia on the banks of the Danube River. Standing atop a riverside bluff, much of Petrovaradin Fortress dates to the 17th and 18th centuries, with an iconic clock tower and a network of tunnels. Across the river is the old quarter, Stari Grad, site of the Gothic Revival Name of Mary Church and the neo-Renaissance City Hall.",http://www.serbia.com/wp-content/uploads/2015/03/Novi_Sad_square.jpg,,"Novi Sad is a city in northern Serbia on the banks of the Danube River. Standing atop a riverside bluff, much of Petrovaradin Fortress dates to the 17th and 18th centuries, with an iconic clock tower and a network of tunnels. Across the river is the old quarter, Stari Grad, site of the Gothic Revival Name of Mary Church and the neo-Renaissance City Hall."
95,Oslo, Norway,,141.77,101.49,51.2,70.29,106.93,10.33,40.44,24.71,31.76,"Oslo, the capital of Norway, sits on the country�s southern coast at the head of the Oslofjord. It�s known for its green spaces and museums. Many of these are on the Bygd�y Peninsula, including the waterside Norwegian Maritime Museum and the Viking Ship Museum, with Viking ships from the 9th century. The Holmenkollbakken is a ski-jumping hill with panoramic views of the fjord. It also has a ski museum.",http://www.tourist-destinations.net/wp-content/uploads/2013/01/Oslo-Norway-1.jpg,,"Oslo, the capital of Norway, sits on the country  is southern coast at the head of the Oslofjord. It  is known for its green spaces and museums. Many of these are on the Bygd�y Peninsula, including the waterside Norwegian Maritime Museum and the Viking Ship Museum, with Viking ships from the 9th century. The Holmenkollbakken is a ski-jumping hill with panoramic views of the fjord. It also has a ski museum."
96,Durban, South Africa,,140.95,98.38,21.42,46.27,40.94,2.75,36.13,55.7,77.02,"Durban, a coastal city in eastern South Africa�s KwaZulu-Natal province, is known for its African, Indian and colonial influences. Refurbished for soccer�s 2010 World Cup, the seafront promenade runs from uShaka Marine World, a huge theme park with an aquarium, to the futuristic Moses Mabhida Stadium. The Durban Botanical Gardens showcases African plant species.",http://i2.cdn.cnn.com/cnnnext/dam/assets/140630134917-12-canada-most-beautiful-places-super-169.jpg,,"Durban, a coastal city in eastern South Africa  is KwaZulu-Natal province, is known for its African, Indian and colonial influences. Refurbished for soccer  is 2010 World Cup, the seafront promenade runs from uShaka Marine World, a huge theme park with an aquarium, to the futuristic Moses Mabhida Stadium. The Durban Botanical Gardens showcases African plant species."
97,Dubai, United Arab Emirates,,139.71,113.31,79.24,61.17,71.46,5.8,34.82,55.95,10.2,"Dubai is a city and emirate in the United Arab Emirates known for luxury shopping, ultramodern architecture and a lively nightlife scene. Burj Khalifa, an 830m-tall tower, dominates the skyscraper-filled skyline. At its foot lies Dubai Fountain, with jets and lights choreographed to music. On artificial islands just offshore is Atlantis, The Palm, a resort with water and marine-animal parks.",https://www.visitdubai.com/-/media/summercampaign/summer-2017/itineraries/one-day-in-dubai.jpg,,"Dubai is a city and emirate in the United Arab Emirates known for luxury shopping, ultramodern architecture and a lively nightlife scene. Burj Khalifa, an 830m-tall tower, dominates the skyscraper-filled skyline. At its foot lies Dubai Fountain, with jets and lights choreographed to music. On artificial islands just offshore is Atlantis, The Palm, a resort with water and marine-animal parks."
98,Riga, Latvia,,139.49,52.01,62.68,58.1,49.2,10.47,28.95,33.94,43.04,"Riga, Latvia�s capital, is set on the Baltic Sea at the mouth of the River Daugava. It's considered a cultural center and is home to many museums and concert halls. The city is also known for its wooden buildings, art nouveau architecture and medieval Old Town. The pedestrian-only Old Town has many shops and restaurants and is home to busy Livu Square, with bars and nightclubs.",http://www.latvia.travel/sites/default/files/styles/lightbox/public/city/house-blackheads-_riga-melngalvju-nams-latvia-travel_1.jpg?itok=21LtwEpK,,"Riga, Latvia  is capital, is set on the Baltic Sea at the mouth of the River Daugava. It's considered a cultural center and is home to many museums and concert halls. The city is also known for its wooden buildings, art nouveau architecture and medieval Old Town. The pedestrian-only Old Town has many shops and restaurants and is home to busy Livu Square, with bars and nightclubs."
99,Krakow (Cracow), Poland,,138.73,73.94,68.92,63.19,38.58,11.13,32.29,68.86,60.63,"Krak�w, a southern Poland city near the border of the Czech Republic, is known for its well-preserved medieval core and Jewish quarter. Its old town _ ringed by Planty Park and remnants of the city�s medieval walls _ is centered on the stately, expansive Rynek Gl�wny (market square). This plaza is the site of the Cloth Hall, a Renaissance-era trading outpost, and St. Mary�s Basilica, a 14th-century Gothic church.",http://admin.mondial-holiday.ro/Files/Pictures/Images/circuit-tarile-baltice-12-zile-13403.jpg,,"Krak�w, a southern Poland city near the border of the Czech Republic, is known for its well-preserved medieval core and Jewish quarter. Its old town _ ringed by Planty Park and remnants of the city  is medieval walls _ is centered on the stately, expansive Rynek Gl�wny (market square). This plaza is the site of the Cloth Hall, a Renaissance-era trading outpost, and St. Mary  is Basilica, a 14th-century Gothic church."
100,Winnipeg, Canada,,137.94,87.99,48.37,66.41,70.21,5.21,32.15,40.3,28.37,"Winnipeg is the capital of the Canadian province of Manitoba. Its heart is The Forks, a historic site at the intersection of the Red and Assiniboine rivers, with warehouses converted to shops and restaurants, plus ample green space dedicated to festivals, concerts and exhibits. Nearby, the Exchange District is known for its well-preserved, early 20th-century architecture and numerous art galleries.",http://30dayadventures.ca/wp-content/uploads/2016/01/Winnipeg.jpg,,"Winnipeg is the capital of the Canadian province of Manitoba. Its heart is The Forks, a historic site at the intersection of the Red and Assiniboine rivers, with warehouses converted to shops and restaurants, plus ample green space dedicated to festivals, concerts and exhibits. Nearby, the Exchange District is known for its well-preserved, early 20th-century architecture and numerous art galleries."
101,Curitiba, Brazil,,137,50.73,34.84,57,49.73,11.81,39.05,43.38,93.37,"Curitiba is the capital of the southern Brazilian state of Paran�. Notable skyline features include the Panoramic Tower, with an observatory on top. Known as a cultural center, Curitiba is home to a number of performance venues, including the Wire Opera House, a structure of tubular steel with a transparent roof, and the huge Gua'ra Theater, with diverse programs.",http://famouswonders.com/wp-content/uploads/2010/03/Curitiba.jpg,,"Curitiba is the capital of the southern Brazilian state of Paran�. Notable skyline features include the Panoramic Tower, with an observatory on top. Known as a cultural center, Curitiba is home to a number of performance venues, including the Wire Opera House, a structure of tubular steel with a transparent roof, and the huge Gua'ra Theater, with diverse programs."
102,Pune, India,,136.91,103.45,54.23,65.69,27.2,8.36,50.02,77.41,65.11,"Pune is a sprawling city in the western Indian state of Maharashtra. It was once the base of the Peshwas (prime ministers) of the Maratha Empire, which lasted from 1674 to 1818. It's known for the grand Aga Khan Palace, built in 1892 and now a memorial to Mahatma Gandhi, whose ashes are preserved in the garden. The 8th-century Pataleshwar Cave Temple is dedicated to the Hindu god Shiva.",http://www.thehoya.com/wp-content/uploads/2014/11/B1_BigIndia_AlexanderBrown.png,,"Pune is a sprawling city in the western Indian state of Maharashtra. It was once the base of the Peshwas (prime ministers) of the Maratha Empire, which lasted from 1674 to 1818. It's known for the grand Aga Khan Palace, built in 1892 and now a memorial to Mahatma Gandhi, whose ashes are preserved in the garden. The 8th-century Pataleshwar Cave Temple is dedicated to the Hindu god Shiva."
103,Vilnius, Lithuania,,136.71,54.06,67.56,69.6,47.24,15.33,29.76,25.8,20.64,"Vilnius, Lithuania�s capital, is known for its baroque architecture, seen especially in its medieval Old Town. But the buildings lining this district�s partially cobblestoned streets reflect diverse styles and eras, from the neoclassical Vilnius Cathedral to Gothic St. Anne's Church. The 16th-century Gate of Dawn, containing a shrine with a sacred Virgin Mary icon, once guarded an entrance to the original city.",https://cdn.balticlivecam.com/images/Vilnius-Panorama.jpg,,"Vilnius, Lithuania  is capital, is known for its baroque architecture, seen especially in its medieval Old Town. But the buildings lining this district  is partially cobblestoned streets reflect diverse styles and eras, from the neoclassical Vilnius Cathedral to Gothic St. Anne's Church. The 16th-century Gate of Dawn, containing a shrine with a sacred Virgin Mary icon, once guarded an entrance to the original city."
